"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_B1_18June2025_GX010015.MP4",71640,19.9199,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",72827,20.25,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",72827,20.25,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",73804,20.5216,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",78074,21.7089,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",81219,22.5834,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",89085,24.7706,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",95542,26.566,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",97004,26.9725,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",105346,29.292,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",107162,29.797,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",122357,34.022,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",11112,6.1795,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",27275,15.1679,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Scobinichthys.granulatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",27667,15.3859,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",33511,18.6358,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
