Point measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday 26 May 2026 15:49:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Sampling period,Date,Site,Treatment,Camera no.,,,,Family,Genus,Species,Code,Number,Stage,Activity,Comment
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,1016.83,658.99,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,985.87,528.93,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,751.79,131.3,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,18615,22.1638,,,34.68,588.39,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,1987,24.7286,,,951.19,395.15,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,16216,32.6415,,,70.6,424.88,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,16883,33.0124,,,750.55,344.36,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,18093,33.6853,,,876.88,22.3,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,18093,33.6853,,,899.17,490.53,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,18093,33.6853,,,1045.32,448.41,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,18093,33.6853,,,1052.75,671.38,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX038028.MP4,18206,33.7482,,,937.57,377.81,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A6_18June2025_GX012450.MP4,17785,9.8904,,,865.73,132.54,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A6_18June2025_GX012450.MP4,20461,11.3786,,,881.83,392.67,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A6_18June2025_GX022450.MP4,1228,12.4947,,,1025.5,1010.79,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A6_18June2025_GX022450.MP4,5803,15.0389,,,942.52,1818.43,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A6_18June2025_GX022450.MP4,5803,15.0389,,,977.2,1723.05,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Chase conspecific,
EP_RS2_A6_18June2025_GX022450.MP4,7197,15.8141,,,958.62,841.08,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A6_18June2025_GX022450.MP4,12699,18.8739,,,1003.21,1776.31,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_A6_18June2025_GX032450.MP4,15019,31.9758,,,1027.98,888.15,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_A6_18June2025_GX032450.MP4,15833,32.4285,,,948.72,99.1,0,0,EP_RS2_A6_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,A6,,,,Blennidae,Omobranchus,anolius,37408058,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,21479,5.9724,,,151.1,19.82,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Tetraodontidae,Tetractenos,hamiltoni,37467054,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,22460,6.2451,,,874.4,499.2,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,27209,7.5656,,,875.64,113.96,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,27209,7.5656,,,750.55,937.7,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,40098,11.1495,,,276.19,1594.22,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,42614,11.8491,,,912.8,527.69,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,47139,13.1073,,,723.3,157.32,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,48690,13.5385,,,648.99,429.83,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,2,AD,Feeding,
EP_RS2_B1_18June2025_GX010015.MP4,48953,13.6117,,,718.35,95.38,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,67528,18.7765,,,541.24,1024.41,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Blennidae,Omobranchus,rotundiceps,37408064,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,69134,19.2231,,,624.22,87.95,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,70924,19.7208,,,715.87,204.39,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,71640,19.9199,,,754.27,121.39,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
EP_RS2_B1_18June2025_GX010015.MP4,72827,20.25,,,599.45,349.32,0,0,EP_RS2_B1_18June2025,SBP,,,Baseline 2,18/06/2025,Ellery Punt,Rocky shore 2,B1,,,,Sparidae,Acanthopagrus,australis,37353004,1,AD,Passing,
