"Code","Frame","Time (mins)","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Stage","Activity","count"
"EP_RS2_B1_18June2025",72827,20.25,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",73804,20.5216,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",78074,21.7089,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",81219,22.5834,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",89085,24.7706,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",95542,26.566,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",97004,26.9725,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",105346,29.292,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",107162,29.797,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",122357,34.022,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B5_20Apr2026",11112,6.1795,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B5_20Apr2026",27275,15.1679,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Scobinichthys.granulatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",27667,15.3859,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B5_20Apr2026",33511,18.6358,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",33511,18.6358,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",34041,18.9306,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B5_20Apr2026",34041,18.9306,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B5_20Apr2026",34265,19.0551,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",34265,19.0551,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",34492,19.1814,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",36572,20.3381,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",37013,20.5833,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B5_20Apr2026",37013,20.5833,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B5_20Apr2026",37550,20.882,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",38783,21.5677,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","AD","Passing",1
"EP_RS2_B5_20Apr2026",38994,21.685,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","AD","Passing",1
"EP_RS2_B5_20Apr2026",38994,21.685,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","AD","Chase conspecific",1
"EP_RS2_B5_20Apr2026",39379,21.8991,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",43662,24.2809,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","AD","Passing",1
"EP_RS2_B5_20Apr2026",46330,25.7646,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B5_20Apr2026",46373,25.7885,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Passing",1
